id,dataset,weight,height,sex
ID0173,training,66.9,164.7,0
ID0174,training,61.8,144.6,0
ID0175,training,65.1,149.7,0
ID0176,training,67.9,183.3,1
ID0177,training,64.8,144.6,0
ID0178,training,66.3,166.5,1
ID0179,training,66.7,171.5,1
ID0180,training,65.6,173.7,1
ID0181,training,71.1,184.1,1
ID0182,training,69.6,176.6,1
ID0183,training,67.4,146.1,0
ID0184,training,64.2,168.5,0
ID0185,training,69.8,188.8,1
ID0186,training,62.4,129.3,0
ID0187,training,64.2,138.8,0
ID0188,training,67.7,178.2,1
ID0189,training,65.8,179.9,1
ID0190,training,66.7,151.2,0
ID0191,training,65.5,159.1,0
ID0192,training,67.2,177,1
ID0193,training,65.1,142.6,0
ID0194,training,67.1,155.5,1
ID0195,training,62.8,138.4,0
ID0196,training,67.7,161.4,0
ID0197,training,63.6,131.4,0
ID0198,training,60.8,137.8,1
ID0199,training,63.6,154.1,0
ID0200,training,65.2,185.5,1
ID0201,training,67.2,177.3,1
ID0202,training,69.3,180.4,1
ID0203,training,66.2,147.9,0
ID0204,training,68.9,180.8,1
ID0205,training,68.9,165.6,0
ID0206,training,66.2,151.3,0
ID0207,training,64.3,145.9,0
ID0208,training,64,163,1
ID0209,training,71,185,1
ID0210,training,66,137.9,0
ID0211,training,65.9,149.5,0
ID0212,training,68.5,185.8,1
ID0213,training,64.4,168.8,1
ID0214,training,67.8,188.5,1
ID0215,training,65.1,150.1,0
ID0216,training,65.8,163.5,0
ID0217,training,66,132.3,0
ID0218,training,66.2,142.6,0
ID0219,training,62.3,134.1,0
ID0220,training,66.2,180.1,1
ID0221,training,61.9,132.8,0
ID0222,training,62.9,128.6,0
ID0223,training,66.8,165.5,1
ID0224,training,67.6,174.9,1
ID0225,training,64.7,131.1,0
ID0226,training,61.8,141,0
ID0227,training,68,174.4,1
ID0228,training,68,179.4,1
ID0229,training,61.4,139.9,0
ID0230,training,67.9,163,0
ID0231,training,64.4,127.9,0
ID0232,training,65.8,136.7,0
ID0233,training,66.1,179.7,1
ID0234,training,68.2,182.4,1
ID0235,training,66.8,176.6,1
ID0236,training,66.7,182.7,1
ID0237,training,66.5,159.6,0
ID0238,training,67.7,182.5,1
ID0239,training,64.3,135.8,0
ID0240,training,65.4,147,0
ID0241,training,65.3,151.9,0
ID0242,training,66.2,166.1,1
ID0243,training,63.2,126.3,0
ID0244,training,68.5,180.9,1
ID0245,training,60.2,135.5,0
ID0246,training,63,154.4,1
ID0247,training,65.4,156.9,1
ID0248,training,65.1,150.6,1
ID0249,training,64,134.4,0
ID0250,training,65.6,139.4,0
ID0251,training,64,130.6,0
ID0252,training,64.1,143,0
ID0253,training,62.4,133.8,0
ID0254,training,65,157.6,1
ID0255,training,67.4,175.1,1
ID0256,training,69,187.5,1
ID0257,training,64.9,140.1,0
ID0258,training,66.9,162.9,0
ID0259,training,65.8,177.2,1
ID0260,training,65.8,135.4,0
ID0261,training,70.6,187.5,1
ID0262,training,63.8,149.4,0
ID0263,training,69,188.3,1
ID0264,training,71.1,176,0
ID0265,training,65.7,147.3,0
ID0266,training,61.8,141.6,0
ID0267,training,64.2,138.3,0
ID0268,training,63.7,154.9,0
ID0269,training,65.9,150,0
ID0270,training,62,127,0
ID0271,training,66.1,150.7,0
ID0272,training,63.5,146.2,0
ID0273,training,65.7,174.4,1
ID0274,training,63.8,136.8,0
ID0275,training,62.9,133.5,0
ID0276,training,67.5,175.2,1
ID0277,training,60.9,128.1,0
ID0278,training,66.7,172,1
ID0279,training,63,133.3,0
ID0280,training,62.6,151.7,1
ID0281,training,65.6,138,0
ID0282,training,66.2,145.2,0
ID0283,training,69.5,184.1,1
ID0284,training,61.5,144.4,0
ID0285,training,64.6,144.3,0
ID0286,training,68.5,183.6,1
ID0287,training,70.7,187,1
ID0288,training,65.6,137.3,0
ID0289,training,67.2,182.8,1
ID0290,training,60.2,147,1
ID0291,training,67.1,167.9,0
ID0292,training,65,135.2,0
ID0293,training,63.3,139.1,0
ID0294,training,64.1,140.4,0
ID0295,training,68,170.5,0
ID0296,training,67.3,166.7,0
ID0297,training,64,149.4,0
ID0298,training,64.5,156.2,0
ID0299,training,62.1,131.1,0
ID0300,training,62.7,127.9,0
ID0301,training,61.4,130.7,0
ID0302,training,67.9,177.4,1
ID0303,training,67.9,183.5,1
ID0304,training,62.2,136.7,0
ID0305,training,67.4,189.4,1
ID0306,training,65.3,149.7,0
ID0307,training,61.5,127.7,0
ID0308,training,67.5,171.6,1
ID0309,training,66,141.7,0
ID0310,training,66,166.8,0
ID0311,training,65.6,141.3,0
ID0312,training,64.4,138.3,0
ID0313,training,68.5,173.4,1
ID0314,training,63.4,152.1,1
ID0315,training,70.2,189.5,1
ID0316,training,66.2,151.4,0
ID0317,training,66.9,182.4,1
ID0318,training,67.1,172.7,1
ID0319,training,68,162.1,1
ID0320,training,69.9,185.7,1
ID0321,training,65.6,139.6,0
ID0322,training,69.3,184.3,1
ID0323,training,67.7,162.3,0
ID0324,training,64.2,145.8,0
ID0325,training,67.8,163.2,0
ID0326,training,66.4,145.8,0
ID0327,training,67.3,158.5,0
ID0328,training,63.6,144.4,0
ID0329,training,65.2,155.4,0
ID0330,training,63.8,159.3,1
ID0331,training,65.9,159.8,0
ID0332,training,63.8,143.9,0
ID0333,training,67.9,173.9,1
ID0334,training,68.2,172.4,0
ID0335,training,70.3,158.2,0
ID0336,training,63.6,145,0
ID0337,training,66.5,175.1,1
ID0338,training,65.1,139,0
ID0339,training,63.4,185.2,1
ID0340,training,63.8,127.8,0
ID0341,training,70.7,186.8,1
ID0342,training,71,178.6,1
ID0343,training,67.3,182.9,1
ID0344,training,63,141.9,0
ID0345,training,65.6,172.5,1
ID0346,training,68.3,184.8,1
ID0347,training,66.4,157.8,0
ID0348,training,63.8,134.9,0
ID0349,training,66.4,177.1,1
ID0350,training,67.2,176.2,1
ID0351,training,65.6,164.5,1
ID0352,training,66.7,161,0
ID0353,training,64.9,145.2,1
ID0354,training,68.7,171.6,1
ID0355,training,64.7,184.4,1
ID0356,training,69.5,188.1,1
ID0357,training,64.5,134,0
ID0358,training,67.2,167.4,0
ID0359,training,69.7,166.9,0
ID0360,training,67.9,152.9,1
ID0361,training,68.6,181.2,1
ID0362,training,66.4,153.4,0
ID0363,training,65.2,149.9,0
ID0364,training,67.6,180.3,1
ID0365,training,67.6,170.9,0
ID0366,training,68.9,165.2,1
ID0367,training,62.3,139.2,0
ID0368,training,64.9,146.7,0
ID0369,training,66.2,169.3,1
ID0370,training,67.4,183.8,1
ID0371,training,63.4,138.4,0
ID0372,training,63.5,126.4,0
ID0373,training,63.3,143.2,1
ID0374,training,63,125.7,0
ID0375,training,59.1,129.5,0
ID0376,training,70.6,174.2,1
ID0377,training,66.5,152.8,0
ID0378,training,61.2,134.6,0
ID0379,training,66.6,149.8,0
ID0380,training,63.1,142.6,0
ID0381,training,61.5,129.4,0
ID0382,training,70.5,187.1,1
ID0383,training,62.2,136.8,0
ID0384,training,62,132.7,0
ID0385,training,70,176,1
ID0386,training,65.4,161,1
ID0387,training,65.9,126.1,0
ID0388,training,63.8,129.3,0
ID0389,training,63.3,135,0
ID0390,training,60,129.4,0
ID0391,training,67.1,167.3,1
ID0392,training,66.9,169.1,1
ID0393,training,63.2,131.6,0
ID0394,training,66.4,166.9,1
ID0395,training,67.2,169.8,1
ID0396,training,63.1,135.9,0
ID0397,training,69.1,175.8,1
ID0398,training,66.3,153.2,0
ID0399,training,66.3,140.5,0
ID0400,training,63.6,137.8,0
ID0401,training,63,136.7,0
ID0402,training,64,172.9,1
ID0403,training,68.1,171.7,1
ID0404,training,63.8,149.9,0
ID0405,training,67.2,164.8,0
ID0406,training,64.5,149,0
ID0407,training,66.6,170.4,1
ID0408,training,66.8,152.9,0
ID0409,training,65.7,147.2,0
ID0410,training,68.9,155.7,0
ID0411,training,68.4,176.5,1
ID0412,training,70.9,182.9,1
ID0413,training,69.4,185.4,1
ID0414,training,67.4,161.5,0
ID0415,training,66.8,160.4,0
ID0416,training,64.4,148.4,0
ID0417,training,62.6,138.1,0
ID0418,training,63.4,150.5,0
ID0419,training,67,189,1
ID0420,training,65.6,162.7,1
ID0421,training,65.5,150.3,1
ID0422,training,69.5,188.7,1
ID0423,training,66.6,155.8,1
ID0424,training,67.2,166.5,0
ID0425,training,65.7,142.5,0
ID0426,training,68.6,178.9,1
ID0427,training,67.6,181.4,1
ID0428,training,61.3,141.2,0
ID0429,training,65.1,149.7,0
ID0430,training,64.1,125.1,0
ID0431,training,65.1,149.1,1
ID0432,training,63.4,132.6,0
ID0433,training,66.1,164.7,0
ID0434,training,70,188.6,0
ID0435,training,64.2,135.2,1
ID0436,training,64.2,139.3,0
ID0437,training,68.5,187.9,1
ID0438,training,68.9,186.8,1
ID0439,training,66.5,180.8,1
ID0440,training,67.3,174.2,1
ID0441,training,64.1,129.1,0
ID0442,training,67.1,187.1,1
ID0443,training,68.4,182.4,1
ID0444,training,63.5,133.5,0
ID0445,training,69.2,175.9,1
ID0446,training,65.4,167.7,1
ID0447,training,67.1,172.5,0
ID0448,training,63.5,154.1,1
ID0449,training,67.7,178.6,1
ID0450,training,63,130.9,0
ID0451,training,64.2,140.7,0
ID0452,training,69,157.3,0
ID0453,training,64.7,146,0
ID0454,training,63.2,132.2,0
ID0455,training,65.6,138.5,0
ID0456,training,66.6,171.3,1
ID0457,training,62,147.9,0
ID0458,training,65.8,187.5,1
ID0459,training,67.8,169.5,1
ID0460,training,63.4,153.2,0
ID0461,training,63.3,144,0
ID0462,training,61.2,130.5,0
ID0463,training,62.3,133.8,0
ID0464,training,68.7,171.9,0
ID0465,training,61.5,128.7,1
ID0466,training,68,182.8,1
ID0467,training,72,189.4,1
ID0468,training,64,153.7,0
ID0469,training,67,140.8,0
ID0470,training,63.9,168.3,1
ID0471,training,63.3,130.9,0
ID0472,training,66.5,162.8,1
ID0473,training,64.9,140.3,0
ID0474,training,68.9,169.6,1
ID0475,training,64.6,135.3,0
ID0476,training,64.6,161.6,1
ID0477,training,69.7,182.7,1
ID0478,training,63.7,151.2,0
ID0479,training,69.5,177.2,1
ID0480,training,62,131.9,0
ID0481,training,66.8,151,0
ID0482,training,63.3,138.9,0
ID0483,training,63.8,154.2,0
ID0484,training,64.5,144.9,0
ID0485,training,69.9,170.2,1
ID0486,training,68.9,187.6,1
ID0487,training,67.3,180,1
ID0488,training,63.9,143,0
ID0489,training,65.4,172.9,1
ID0490,training,67.9,183.7,1
ID0491,training,65.4,145.6,0
ID0492,training,70.1,188.9,1
ID0493,training,68.6,187.3,1
ID0494,training,67.3,172.7,1
ID0495,training,65.4,149.8,0
ID0496,training,62.2,126,0
ID0497,training,65.4,167.6,1
ID0498,training,65.3,143.5,0
ID0499,training,67.3,189.2,1
ID0500,training,64.5,143.2,0
ID0501,training,67.2,174.3,1
ID0502,training,68.3,168,0
ID0503,training,68,170.7,1
ID0504,training,69.3,157.2,0
ID0505,training,66.5,149.2,0
ID0506,training,66.5,165.8,0
ID0507,training,64.2,138.4,0
ID0508,training,64.9,137.8,0
ID0509,training,63.4,141.1,1
ID0510,training,64.1,144.5,0
ID0511,training,69.5,179.7,1
ID0512,training,69.1,179,1
ID0513,training,65.9,143,0
ID0514,training,65.2,172.5,1
ID0515,training,69,186,1
ID0516,training,67.8,171.7,0
ID0517,training,65.2,140,0
ID0518,training,66,144.8,0
ID0519,training,65,130.4,0
ID0520,training,64.2,137.7,0
ID0521,training,63.6,128.6,0
ID0522,training,67.8,173.6,1
ID0523,training,66.6,173.4,1
ID0524,training,69,178.2,1
ID0525,training,64.5,152.7,0
ID0526,training,66.5,168.6,1
ID0527,training,63.7,147,0
ID0528,training,63.8,139.3,0
ID0529,training,67.3,182.3,1
ID0530,training,65.9,138.9,0
ID0531,training,70.9,188.7,1
ID0532,training,65.5,145.9,1
ID0533,training,61.8,135.5,1
ID0534,training,61.3,150.3,1
ID0535,training,63.2,140.4,0
ID0536,training,67.8,180.1,1
ID0537,training,63.5,147.4,1
ID0538,training,68,172.4,1
ID0539,training,67.7,171.7,1
ID0540,training,63.8,132.2,0
ID0541,training,64.7,128.3,0
ID0542,training,63.4,142,0
ID0543,training,67.8,160.4,0
ID0544,training,63.9,146.4,0
ID0545,training,64.8,172.7,0
ID0546,training,70.2,175.8,0
ID0547,training,68.6,176.8,1
ID0548,training,67.1,187.1,1
ID0549,training,67.7,172.8,1
ID0550,training,63.8,129.7,0
ID0551,training,65.3,158.4,0
ID0552,training,67,189.9,1
ID0553,training,64.2,152.3,0
ID0554,training,63.7,136.2,0
ID0555,training,66.5,174.9,1
ID0556,training,63.1,133.7,0
ID0557,training,63.9,138.3,0
ID0558,training,66.1,172.5,1
ID0559,training,63.1,138.7,0
ID0560,training,67.7,188.2,1
ID0561,training,67.6,175.9,1
ID0562,training,63.9,142.5,0
ID0563,training,61.2,135.7,0
ID0564,training,64.9,138.5,0
ID0565,training,63.4,125.7,0
ID0566,training,66.7,162.6,0
ID0567,training,67.1,187.7,1
ID0568,training,67.7,178.2,1
ID0569,training,67.3,188.4,1
ID0570,training,63.3,144.3,0
ID0571,training,64.5,138.8,0
ID0572,training,67.2,156.3,0
ID0573,training,66.8,165.3,1
ID0574,training,65.1,163.7,1
ID0575,training,69.3,189.4,1
ID0576,training,68.1,178.5,1
ID0577,training,65.7,143.5,0
ID0578,training,63.3,140.6,0
ID0579,training,67.8,186.1,1
ID0580,training,69.4,183.9,1
ID0581,training,64.6,174,1
ID0582,training,62.4,143.3,0
ID0583,training,66.6,148.6,0
ID0584,training,63,133,0
ID0585,training,69,176.8,0
ID0586,training,63,145.7,1
ID0587,training,67.7,170.1,1
ID0588,training,63.3,134.3,0
ID0589,training,63,139.3,0
ID0590,training,62.8,153.5,1
ID0591,training,65.6,150.6,0
ID0592,training,66.3,163.8,1
ID0593,training,66.9,164.2,0
ID0594,training,66.3,156.8,0
ID0595,training,64.5,132.6,0
ID0596,training,64.6,155.2,0
ID0597,training,63.9,134.4,0
ID0598,training,66.3,130.9,0
ID0599,training,65.4,166.1,1
ID0600,training,69.3,177.8,1
ID0601,training,62.7,158.3,0
ID0602,training,62.2,136,0
ID0603,training,69.8,169.7,1
ID0604,training,66.7,162.6,0
ID0605,training,66.3,178.6,1
ID0606,training,61.6,131.5,0
ID0607,training,65.5,169.3,0
ID0608,training,68.4,149.3,0
ID0609,training,67.5,177.5,1
ID0610,training,67.3,162.5,0
ID0611,training,62.1,125.3,0
ID0612,training,66.5,143.1,0
ID0613,training,62.4,125.3,0
ID0614,training,65.5,144.6,0
ID0615,training,62.6,134.4,0
ID0616,training,66.9,142.8,0
ID0617,training,61.6,147.9,1
ID0618,training,69.3,167.6,0
ID0619,training,62.5,129.2,0
ID0620,training,67.7,185.1,1
ID0621,training,61.6,134.3,0
ID0622,training,63.9,163,1
ID0623,training,69.2,167.7,1
ID0624,training,62.3,140.5,1
ID0625,training,61.6,127.7,0
ID0626,training,67.7,151.9,0
ID0627,training,68.3,186.6,1
ID0628,training,65.6,159.1,0
ID0629,training,62.3,139.5,0
ID0630,training,67.5,171.6,0
ID0631,training,59.5,125.6,0
ID0632,training,70.5,177,1
ID0633,training,65.1,141.1,0
ID0634,training,63.7,130.5,0
ID0635,training,66.8,147.6,0
ID0636,training,66.9,170.3,1
ID0637,training,65.2,143.9,0
ID0638,training,66.6,169.1,0
ID0639,training,63.7,140.5,0
ID0640,training,68.4,153.6,0
ID0641,training,69.6,187.5,1
ID0642,training,65.4,158.9,1
ID0643,training,63.9,150.2,0
ID0644,training,64.3,164,1
ID0645,training,67.2,168.2,1
ID0646,training,69.6,184.6,1
ID0647,training,69.4,176.2,1
ID0648,training,69.7,183.7,1
ID0649,training,70.5,174,1
ID0650,training,65,151,1
ID0651,training,67.4,156.5,0
ID0652,training,67.8,165.1,0
ID0653,training,63.5,129,0
ID0654,training,69,173.3,1
ID0655,training,67.4,167.5,0
ID0656,training,65.9,180.5,1
ID0657,training,69,177.6,1
ID0658,training,68.9,185.1,1
ID0659,training,68.5,184.7,1
ID0660,training,62.5,127.3,0
ID0661,training,68.1,186.2,1
ID0662,training,67.4,188.6,1
ID0663,training,68.8,168.9,0
ID0664,training,64.1,139.2,0
ID0665,training,65.9,148.4,1
ID0666,training,60.7,129.3,1
ID0667,training,65.9,150,0
ID0668,training,62.4,131.3,0
ID0669,training,66,177.7,1
ID0670,training,66.2,154.4,0
ID0671,training,66.1,176.4,0
ID0672,training,67.2,180.4,1
ID0673,training,60.4,130.6,0
ID0674,training,68.3,184.5,1
ID0675,training,67.4,164.2,1
ID0676,training,67.9,182.4,1
ID0677,training,63.8,147.9,1
ID0678,training,64.2,141.4,0
ID0679,training,69.2,178.3,1
ID0680,training,67.4,185.6,1
ID0681,training,72.5,175.2,1
ID0682,training,65.7,181.4,1
ID0683,training,63.7,127.8,0
ID0684,training,67.4,165.3,1
ID0685,training,64.7,171.4,1
ID0686,training,68.1,180.1,1
ID0687,training,66.3,176.5,1
ID0688,training,67.4,161.4,0
ID0689,training,66.1,139.2,0
ID0690,training,65.8,160.9,0
ID0691,training,64.1,125.5,0
ID0692,training,70.4,189.6,1
ID0693,training,59.5,128.9,0
ID0694,training,64,137,0
ID0695,training,69.2,188.1,1
ID0696,training,66,155.4,0
ID0697,training,70.1,184.5,1
ID0698,training,63.3,126.7,0
ID0699,training,67.3,152.2,1
ID0700,training,62.6,128,0
ID0701,training,62.8,132.2,0
ID0702,training,67.9,161.7,1
ID0703,training,64.1,161.8,1
ID0704,training,66.9,183.1,1
ID0705,training,65.2,172.6,1
ID0706,training,62.6,133.1,0
ID0707,training,70.8,181.6,1
ID0708,training,65,137.8,0
ID0709,training,63.2,138,0
ID0710,training,68.1,171.1,1
ID0711,training,60.5,134.7,0
ID0712,training,65.5,135,0
ID0713,training,63,131,0
ID0714,training,63.5,138,0
ID0715,training,63.4,128,0
ID0716,training,62.6,132.3,0
ID0717,training,65.8,160.3,0
ID0718,training,63.1,126.5,0
ID0719,training,68.9,171.9,1
ID0720,training,69.6,186,1
ID0721,training,62.2,129,0
ID0722,training,68.7,173.1,0
ID0723,training,65.9,175.4,1
ID0724,training,66.6,135.9,0
ID0725,training,65.2,150.4,0
ID0726,training,68.5,183.7,1
ID0727,training,67.5,175.3,0
ID0728,training,67.4,161,0
ID0729,training,66.6,145.5,0
ID0730,training,66.6,164.1,1
ID0731,training,67.5,167.6,1
ID0732,training,65.7,144.1,0
ID0733,training,63.1,148.7,0
ID0734,training,67.2,163.5,1
ID0735,training,65.2,152,0
ID0736,training,69,187.6,1
ID0737,training,65.5,164.5,1
ID0738,training,64.5,146.8,0
ID0739,training,65.7,151.6,1
ID0740,training,65.7,154.7,0
ID0741,training,65.2,145.8,0
ID0742,training,66.3,148.8,0
ID0743,training,63.6,133.8,0
ID0744,training,66.1,160.1,0
ID0745,training,65.1,152.4,0
ID0746,training,64.4,127.4,0
ID0747,training,64.8,169.9,1
ID0748,training,67.2,185.7,1
ID0749,training,66.3,175.7,1
ID0750,training,67.3,179,0
ID0751,training,66.5,164.9,0
ID0752,training,67.1,158.6,0
ID0753,training,61.8,129.7,0
ID0754,training,63.5,130.4,0
ID0755,training,67.1,159.3,1
ID0756,training,66.4,154.6,0
ID0757,training,63.7,143.2,0
ID0758,training,68.3,178.6,1
ID0759,training,62.6,146,0
ID0760,training,63.7,130.1,0
ID0761,training,63.4,132.6,0
ID0762,training,64.2,136,0
ID0763,training,66.1,149.2,1
ID0764,training,66,147.2,0
ID0765,training,64.6,137.1,0
ID0766,training,65,144.3,0
ID0767,training,67.9,175.6,1
ID0768,training,72.4,178,0
ID0769,training,66.1,138.9,0
ID0770,training,65.4,137,0
ID0771,training,62.5,132.1,0
ID0772,training,64.6,169,1
ID0773,training,69.2,188.1,1
ID0774,training,68,152.1,0
ID0775,training,64.4,162.5,0
ID0776,training,66.8,176.6,1
ID0777,training,71.1,182.8,1
ID0778,training,69.1,184.5,1
ID0779,training,69.4,177.5,1
ID0780,training,69.2,156,0
ID0781,training,67.4,170.5,1
ID0782,training,64.3,132.9,0
ID0783,training,67.7,176,1
ID0784,training,62.2,133.6,0
ID0785,training,67.9,168.7,0
ID0786,training,67.6,142.6,0
ID0787,training,60.2,131.4,0
ID0788,training,61.8,136.6,0
ID0789,training,62.6,125.6,0
ID0790,training,64,134.2,0
ID0791,training,66.6,154.3,0
ID0792,training,64.7,143.8,0
ID0793,training,64.6,142.1,0
ID0794,training,63.2,125.1,0
ID0795,training,69.8,188.7,1
ID0796,training,64.7,146.3,0
ID0797,training,61.1,147.3,1
ID0798,training,66.7,159,0
ID0799,training,68.4,179.6,1
ID0800,training,65.6,156.3,1
ID0801,training,67.4,181.4,1
ID0802,training,64.5,141.6,0
ID0803,training,64.9,129.1,0
ID0804,training,65,147.7,1
ID0805,training,64.7,169.2,1
ID0806,training,68.7,182.4,1
ID0807,training,64.1,142.1,0
ID0808,training,64.9,150.7,0
ID0809,training,63.8,147.1,1
ID0810,training,65.7,163.1,1
ID0811,training,67.2,181.7,1
ID0812,training,65.1,155.8,0
ID0813,training,69.8,189.8,1
ID0814,training,60.9,128,0
ID0815,training,68.1,152.2,0
ID0816,training,66.7,181.8,1
ID0817,training,65.5,148.3,0
ID0818,training,64.6,160.1,0
ID0819,training,65.8,161.1,1
ID0820,training,65.3,145.5,0
ID0821,training,66.7,148.4,0
ID0822,training,63.3,136.1,0
ID0823,training,66.6,165.4,1
ID0824,training,65,142.9,0
ID0825,training,61.6,128.5,0
ID0826,training,65.6,133.8,0
ID0827,training,66.1,162.5,1
ID0828,training,68.9,182.4,1
ID0829,training,66.2,175.1,0
ID0830,training,69.8,186.2,1
ID0831,training,65.2,165,1
ID0832,training,65.8,157,1
ID0833,training,70,167.3,0
ID0834,training,68.7,183.4,1
ID0835,training,63.6,160.9,1
ID0836,training,68.8,187.1,1
ID0837,training,65.2,154.9,0
ID0838,training,69.3,176.3,1
ID0839,training,66.1,152.1,0
ID0840,training,67.1,164.2,1
ID0841,training,64,138.8,0
